,PLAYER_NAME,TEAM_ID,PLAYER_ID,SEASON,BIRTHDATE,COUNTRY,HEIGHT,WEIGHT,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GREATEST_75_FLAG
38,Giannis Antetokounmpo,1610612749,203507,2019,1994-12-06,Greece,7-0,243,2013,1,15,Y
39,Robin Lopez,1610612749,201577,2019,1988-04-01,USA,7-0,281,2008,1,15,N
40,Wesley Matthews,1610612749,202083,2019,1986-10-14,USA,6-5,220,Undrafted,Undrafted,Undrafted,N
41,Eric Bledsoe,1610612749,202339,2019,1989-12-09,USA,6-1,214,2010,1,18,N
42,Donte DiVincenzo,1610612749,1628978,2019,1997-01-31,USA,6-4,203,2018,1,17,N
43,Ersan Ilyasova,1610612749,101141,2019,1987-05-15,Turkey,6-9,235,2005,2,36,N
44,Pat Connaughton,1610612749,1626192,2019,1993-01-06,USA,6-5,209,2015,2,41,N
45,George Hill,1610612749,201588,2019,1986-05-04,USA,6-4,188,2008,1,26,N
46,D.J. Wilson,1610612749,1628391,2019,1996-02-19,USA,6-10,231,2017,1,17,N
47,Kyle Korver,1610612749,2594,2019,1981-03-17,USA,6-7,212,2003,2,51,N
48,Dragan Bender,1610612749,1627733,2019,1997-11-17,Croatia,7-0,249,2016,1,4,N
49,Thanasis Antetokounmpo,1610612749,203648,2019,1992-07-18,Greece,6-7,219,2014,2,51,N
50,Kris Dunn,1610612741,1627739,2019,1994-03-18,USA,6-3,205,2016,1,5,N
51,Lauri Markkanen,1610612741,1628374,2019,1997-05-22,Finland,7-0,240,2017,1,7,N
52,Wendell Carter Jr.,1610612741,1628976,2019,1999-04-16,USA,6-10,270,2018,1,7,N
53,Zach LaVine,1610612741,203897,2019,1995-03-10,USA,6-5,200,2014,1,13,N
54,Tomas Satoransky,1610612741,203107,2019,1991-10-30,Czech Republic,6-7,210,2012,2,32,N
55,Coby White,1610612741,1629632,2019,2000-02-16,USA,6-5,195,2019,1,7,N
56,Thaddeus Young,1610612741,201152,2019,1988-06-21,USA,6-8,235,2007,1,12,N
57,Ryan Arcidiacono,1610612741,1627853,2019,1994-03-26,USA,6-3,195,Undrafted,Undrafted,Undrafted,N
58,Denzel Valentine,1610612741,1627756,2019,1993-11-16,USA,6-4,220,2016,1,14,N
59,Daniel Gafford,1610612741,1629655,2019,1998-10-01,USA,6-10,234,2019,2,38,N
60,Shaquille Harrison,1610612741,1627885,2019,1993-10-06,USA,6-4,195,Undrafted,Undrafted,Undrafted,N
61,Luke Kornet,1610612741,1628436,2019,1995-07-15,USA,7-2,250,Undrafted,Undrafted,Undrafted,N
62,Max Strus,1610612741,1629622,2019,1996-03-28,USA,6-5,215,Undrafted,Undrafted,Undrafted,N
63,Harrison Barnes,1610612758,203084,2019,1992-05-30,USA,6-8,225,2012,1,7,N
64,Nemanja Bjelica,1610612758,202357,2019,1988-05-09,Serbia,6-9,234,2010,2,35,N
65,Richaun Holmes,1610612758,1626158,2019,1993-10-15,USA,6-8,235,2015,2,37,N
66,Buddy Hield,1610612758,1627741,2019,1992-12-17,Bahamas,6-4,220,2016,1,6,N
67,Cory Joseph,1610612758,202709,2019,1991-08-20,Canada,6-3,200,2011,1,29,N
68,Bogdan Bogdanovic,1610612758,203992,2019,1992-08-18,Serbia,6-5,225,2014,1,27,N
69,Justin James,1610612758,1629713,2019,1997-01-24,USA,6-7,190,2019,2,40,N
70,Trevor Ariza,1610612758,2772,2019,1985-06-30,USA,6-8,215,2004,2,43,N
71,Dewayne Dedmon,1610612758,203473,2019,1989-08-12,USA,6-10,245,Undrafted,Undrafted,Undrafted,N
72,Yogi Ferrell,1610612758,1627812,2019,1993-05-09,USA,6-0,178,Undrafted,Undrafted,Undrafted,N
73,Harry Giles III,1610612758,1628385,2019,1998-04-22,USA,6-11,240,2017,1,20,N
74,Kyle Guy,1610612758,1629657,2019,1997-08-11,USA,6-1,167,2019,2,55,N
75,Caleb Swanigan,1610612758,1628403,2019,1997-04-18,USA,6-9,260,2017,1,26,N
76,Kelly Oubre Jr.,1610612756,1626162,2019,1995-12-09,USA,6-6,203,2015,1,15,N
77,Dario Saric,1610612756,203967,2019,1994-04-08,Croatia,6-10,225,2014,1,12,N
78,Frank Kaminsky,1610612756,1626163,2019,1993-04-04,USA,7-0,240,2015,1,9,N
79,Devin Booker,1610612756,1626164,2019,1996-10-30,USA,6-5,206,2015,1,13,N
80,Ricky Rubio,1610612756,201937,2019,1990-10-21,Spain,6-2,190,2009,1,5,N
81,Mikal Bridges,1610612756,1628969,2019,1996-08-30,USA,6-6,209,2018,1,10,N
82,Ty Jerome,1610612756,1629660,2019,1997-07-08,USA,6-5,195,2019,1,24,N
83,Cameron Johnson,1610612756,1629661,2019,1996-03-03,USA,6-8,210,2019,1,11,N
84,Jevon Carter,1610612756,1628975,2019,1995-09-14,USA,6-1,200,2018,2,32,N
85,Aron Baynes,1610612756,203382,2019,1986-12-09,Australia,6-10,260,Undrafted,Undrafted,Undrafted,N
86,Tyler Johnson,1610612756,204020,2019,1992-05-07,USA,6-3,186,Undrafted,Undrafted,Undrafted,N
87,Elie Okobo,1610612756,1629059,2019,1997-10-23,France,6-3,190,2018,2,31,N
88,Miles Bridges,1610612766,1628970,2019,1998-03-21,USA,6-7,225,2018,1,12,N
89,P.J. Washington,1610612766,1629023,2019,1998-08-23,USA,6-7,230,2019,1,12,N
90,Bismack Biyombo,1610612766,202687,2019,1992-08-28,DRC,6-8,255,2011,1,7,N
91,Devonte' Graham,1610612766,1628984,2019,1995-02-22,USA,6-1,195,2018,2,34,N
92,Terry Rozier,1610612766,1626179,2019,1994-03-17,USA,6-1,190,2015,1,16,N
93,Nicolas Batum,1610612766,201587,2019,1988-12-14,France,6-8,230,2008,1,25,N
94,Cody Zeller,1610612766,203469,2019,1992-10-05,USA,6-11,240,2013,1,4,N
95,Marvin Williams,1610612766,101107,2019,1986-06-19,USA,6-8,237,2005,1,2,N
96,Malik Monk,1610612766,1628370,2019,1998-02-04,USA,6-3,200,2017,1,11,N
97,Dwayne Bacon,1610612766,1628407,2019,1995-08-30,USA,6-6,221,2017,2,40,N
98,Willy Hernangomez,1610612766,1626195,2019,1994-05-27,Spain,6-11,250,2015,2,35,N
99,Michael Kidd-Gilchrist,1610612766,203077,2019,1993-09-26,USA,6-6,232,2012,1,2,N
100,T.J. Warren,1610612754,203933,2019,1993-09-05,USA,6-8,220,2014,1,14,N
101,Domantas Sabonis,1610612754,1627734,2019,1996-05-03,Lithuania,7-1,240,2016,1,11,N
102,Myles Turner,1610612754,1626167,2019,1996-03-24,USA,6-11,250,2015,1,11,N
103,Jeremy Lamb,1610612754,203087,2019,1992-05-30,USA,6-5,180,2012,1,12,N
104,Malcolm Brogdon,1610612754,1627763,2019,1992-12-11,USA,6-4,229,2016,2,36,N
105,Justin Holiday,1610612754,203200,2019,1989-04-05,USA,6-6,180,Undrafted,Undrafted,Undrafted,N
106,Aaron Holiday,1610612754,1628988,2019,1996-09-30,USA,6-0,185,2018,1,23,N
107,T.J. McConnell,1610612754,204456,2019,1992-03-25,USA,6-1,190,2015,0,,N
108,Doug McDermott,1610612754,203926,2019,1992-01-03,USA,6-6,225,2014,1,11,N
109,Goga Bitadze,1610612754,1629048,2019,1999-07-20,Georgia,6-11,250,2019,1,18,N
110,Alize Johnson,1610612754,1628993,2019,1996-04-22,USA,6-8,212,2018,2,50,N
111,TJ Leaf,1610612754,1628388,2019,1997-04-30,USA,6-10,222,2017,1,18,N
112,Solomon Hill,1610612763,203524,2019,1991-03-18,USA,6-6,226,2013,1,23,N
113,Jae Crowder,1610612763,203109,2019,1990-07-06,USA,6-6,235,2012,2,34,N
114,Jaren Jackson Jr.,1610612763,1628991,2019,1999-09-15,USA,6-10,242,2018,1,4,N
115,Dillon Brooks,1610612763,1628415,2019,1996-01-22,Canada,6-6,225,2017,2,45,N
116,Tyus Jones,1610612763,1626145,2019,1996-05-10,USA,6-2,196,2015,1,24,N
117,De'Anthony Melton,1610612763,1629001,2019,1998-05-28,USA,6-2,200,2018,2,46,N
118,Grayson Allen,1610612763,1628960,2019,1995-10-08,USA,6-4,198,2018,1,21,N
119,Bruno Caboclo,1610612763,203998,2019,1995-09-21,Brazil,6-9,218,2014,1,20,N
120,Marko Guduric,1610612763,1629741,2019,1995-03-08,Serbia,6-6,201,Undrafted,Undrafted,Undrafted,N
121,Kyle Anderson,1610612763,203937,2019,1993-09-20,USA,6-9,230,2014,1,30,N
122,Brandon Clarke,1610612763,1629634,2019,1996-09-19,Canada,6-8,215,2019,1,21,N
123,Jonas Valanciunas,1610612763,202685,2019,1992-05-06,Lithuania,6-11,265,2011,1,5,N
124,Yuta Watanabe,1610612763,1629139,2019,1994-10-13,Japan,6-8,215,Undrafted,Undrafted,Undrafted,N
125,Eric Paschall,1610612744,1629672,2019,1996-11-04,USA,6-6,255,2019,2,41,N
126,Kevon Looney,1610612744,1626172,2019,1996-02-06,USA,6-9,222,2015,1,30,N
127,Willie Cauley-Stein,1610612744,1626161,2019,1993-08-18,USA,7-0,240,2015,1,6,N
128,Glenn Robinson III,1610612744,203922,2019,1994-01-08,USA,6-6,222,2014,2,40,N
129,Alec Burks,1610612744,202692,2019,1991-07-20,USA,6-6,214,2011,1,12,N
130,Ky Bowman,1610612744,1629065,2019,1997-06-16,USA,6-1,187,Undrafted,Undrafted,Undrafted,N
131,Marquese Chriss,1610612744,1627737,2019,1997-07-02,USA,6-9,240,2016,1,8,N
132,Jordan Poole,1610612744,1629673,2019,1999-06-19,USA,6-4,194,2019,1,28,N
133,Omari Spellman,1610612744,1629016,2019,1997-07-21,USA,6-8,245,2018,1,30,N
134,Jacob Evans,1610612744,1628980,2019,1997-06-18,USA,6-4,210,2018,1,28,N
135,Draymond Green,1610612744,203110,2019,1990-03-04,USA,6-6,230,2012,2,35,N
136,De'Andre Hunter,1610612737,1629631,2019,1997-12-02,USA,6-8,221,2019,1,4,N
137,Jabari Parker,1610612737,203953,2019,1995-03-15,USA,6-7,245,2014,1,2,N
138,Damian Jones,1610612737,1627745,2019,1995-06-30,USA,6-11,245,2016,1,30,N
139,DeAndre' Bembry,1610612737,1627761,2019,1994-07-04,USA,6-5,210,2016,1,21,N
140,Trae Young,1610612737,1629027,2019,1998-09-19,USA,6-1,164,2018,1,5,N
141,Vince Carter,1610612737,1713,2019,1977-01-26,USA,6-6,220,1998,1,5,N
142,Alex Len,1610612737,203458,2019,1993-06-16,Ukraine,7-2,250,2013,1,5,N
143,Cam Reddish,1610612737,1629629,2019,1999-09-01,USA,6-7,217,2019,1,10,N
144,Evan Turner,1610612737,202323,2019,1988-10-27,USA,6-6,220,2010,1,2,N
145,Tyrone Wallace,1610612737,1627820,2019,1994-06-10,USA,6-5,198,2016,2,60,N
146,Bruno Fernando,1610612737,1628981,2019,1998-08-15,Angola,6-10,240,2019,2,34,N
147,Brandon Goodwin,1610612737,1629164,2019,1995-10-02,USA,6-0,180,Undrafted,Undrafted,Undrafted,N
148,Chandler Parsons,1610612737,202718,2019,1988-10-25,USA,6-9,230,2011,2,38,N
149,Jimmy Butler,1610612748,202710,2019,1989-09-14,USA,6-7,230,2011,1,30,N
150,Bam Adebayo,1610612748,1628389,2019,1997-07-18,USA,6-9,255,2017,1,14,N
151,Meyers Leonard,1610612748,203086,2019,1992-02-27,USA,7-0,260,2012,1,11,N
152,Duncan Robinson,1610612748,1629130,2019,1994-04-22,USA,6-7,215,Undrafted,Undrafted,Undrafted,N
153,Kendrick Nunn,1610612748,1629134,2019,1995-08-03,USA,6-3,190,Undrafted,Undrafted,Undrafted,N
154,Goran Dragic,1610612748,201609,2019,1986-05-06,Slovenia,6-4,190,2008,2,45,N
155,Justise Winslow,1610612748,1626159,2019,1996-03-26,USA,6-6,222,2015,1,10,N
156,Chris Silva,1610612748,1629735,2019,1996-09-19,Gabon,6-8,234,Undrafted,Undrafted,Undrafted,N
157,Tyler Herro,1610612748,1629639,2019,2000-01-20,USA,6-5,195,2019,1,13,N
158,Kelly Olynyk,1610612748,203482,2019,1991-04-19,Canada,6-11,240,2013,1,13,N
159,Derrick Jones Jr.,1610612748,1627884,2019,1997-02-15,USA,6-6,210,Undrafted,Undrafted,Undrafted,N
160,Udonis Haslem,1610612748,2617,2019,1980-06-09,USA,6-7,235,Undrafted,Undrafted,Undrafted,N
161,James Johnson,1610612748,201949,2019,1987-02-20,USA,6-7,240,2009,1,16,N
162,Joe Harris,1610612751,203925,2019,1991-09-06,USA,6-6,220,2014,2,33,N
163,Taurean Prince,1610612751,1627752,2019,1994-03-22,USA,6-6,218,2016,1,12,N
164,Jarrett Allen,1610612751,1628386,2019,1998-04-21,USA,6-9,243,2017,1,22,N
165,Garrett Temple,1610612751,202066,2019,1986-05-08,USA,6-6,195,Undrafted,Undrafted,Undrafted,N
166,Spencer Dinwiddie,1610612751,203915,2019,1993-04-06,USA,6-5,215,2014,2,38,N
167,Dzanan Musa,1610612751,1629058,2019,1999-05-08,Bosnia and Herzegovina,6-9,217,2018,1,29,N
168,DeAndre Jordan,1610612751,201599,2019,1988-07-21,USA,6-11,265,2008,2,35,N
169,Iman Shumpert,1610612751,202697,2019,1990-06-26,USA,6-5,212,2011,1,17,N
170,David Nwaba,1610612751,1628021,2019,1993-01-14,USA,6-5,219,Undrafted,Undrafted,Undrafted,N
171,Theo Pinson,1610612751,1629033,2019,1995-11-05,USA,6-7,212,Undrafted,Undrafted,Undrafted,N
172,Nicolas Claxton,1610612751,1629651,2019,1999-04-17,USA,6-11,215,2019,2,31,N
173,Treveon Graham,1610612750,1626203,2019,1993-10-28,USA,6-5,219,Undrafted,Undrafted,Undrafted,N
174,Robert Covington,1610612750,203496,2019,1990-12-14,USA,6-7,209,Undrafted,Undrafted,Undrafted,N
175,Karl-Anthony Towns,1610612750,1626157,2019,1995-11-15,USA,7-0,248,2015,1,1,N
176,Jarrett Culver,1610612750,1629633,2019,1999-02-20,USA,6-6,195,2019,1,6,N
177,Andrew Wiggins,1610612750,203952,2019,1995-02-23,Canada,6-7,197,2014,1,1,N
178,Jeff Teague,1610612750,201952,2019,1988-06-10,USA,6-3,195,2009,1,19,N
179,Josh Okogie,1610612750,1629006,2019,1998-09-01,Nigeria,6-4,213,2018,1,20,N
180,Shabazz Napier,1610612750,203894,2019,1991-07-14,USA,6-0,175,2014,1,24,N
181,Keita Bates-Diop,1610612750,1628966,2019,1996-01-23,USA,6-8,229,2018,2,48,N
182,Gorgui Dieng,1610612750,203476,2019,1990-01-18,Senegal,6-10,248,2013,1,21,N
183,Jordan Bell,1610612750,1628395,2019,1995-01-07,USA,6-7,216,2017,2,38,N
184,Naz Reid,1610612750,1629675,2019,1999-08-26,USA,6-9,264,Undrafted,Undrafted,Undrafted,N
185,Noah Vonleh,1610612750,203943,2019,1995-08-24,USA,6-10,257,2014,1,9,N
186,Dorian Finney-Smith,1610612742,1627827,2019,1993-05-04,USA,6-7,220,Undrafted,Undrafted,Undrafted,N
187,Kristaps Porzingis,1610612742,204001,2019,1995-08-02,Latvia,7-3,240,2015,1,4,N
188,Dwight Powell,1610612742,203939,2019,1991-07-20,Canada,6-10,240,2014,2,45,N
189,Tim Hardaway Jr.,1610612742,203501,2019,1992-03-16,USA,6-5,205,2013,1,24,N
190,Luka Doncic,1610612742,1629029,2019,1999-02-28,Slovenia,6-7,230,2018,1,3,N
191,Delon Wright,1610612742,1626153,2019,1992-04-26,USA,6-5,185,2015,1,20,N
192,Seth Curry,1610612742,203552,2019,1990-08-23,USA,6-1,185,Undrafted,Undrafted,Undrafted,N
193,Maxi Kleber,1610612742,1628467,2019,1992-01-29,Germany,6-10,240,Undrafted,Undrafted,Undrafted,N
194,Jalen Brunson,1610612742,1628973,2019,1996-08-31,USA,6-2,190,2018,2,33,N
195,Justin Jackson,1610612742,1628382,2019,1995-03-28,USA,6-8,220,2017,1,15,N
196,Boban Marjanovic,1610612742,1626246,2019,1988-08-15,Serbia,7-4,290,Undrafted,Undrafted,Undrafted,N
197,J.J. Barea,1610612742,200826,2019,1984-06-26,Puerto Rico,5-10,180,Undrafted,Undrafted,Undrafted,N
198,Courtney Lee,1610612742,201584,2019,1985-10-03,USA,6-5,215,2008,1,22,N
199,LeBron James,1610612747,2544,2019,1984-12-30,USA,6-9,250,2003,1,1,Y
200,Anthony Davis,1610612747,203076,2019,1993-03-11,USA,6-10,253,2012,1,1,Y
201,JaVale McGee,1610612747,201580,2019,1988-01-19,USA,7-0,270,2008,1,18,N
202,Danny Green,1610612747,201980,2019,1987-06-22,USA,6-6,215,2009,2,46,N
203,Kentavious Caldwell-Pope,1610612747,203484,2019,1993-02-18,USA,6-5,204,2013,1,8,N
204,Kyle Kuzma,1610612747,1628398,2019,1995-07-24,USA,6-9,221,2017,1,27,N
205,Alex Caruso,1610612747,1627936,2019,1994-02-28,USA,6-5,186,Undrafted,Undrafted,Undrafted,N
206,Rajon Rondo,1610612747,200765,2019,1986-02-22,USA,6-1,180,2006,1,21,N
207,Troy Daniels,1610612747,203584,2019,1991-07-15,USA,6-4,200,Undrafted,Undrafted,Undrafted,N
208,Dwight Howard,1610612747,2730,2019,1985-12-08,USA,6-10,265,2004,1,1,N
209,Jared Dudley,1610612747,201162,2019,1985-07-10,USA,6-6,237,2007,1,22,N
210,Quinn Cook,1610612747,1626188,2019,1993-03-23,USA,6-1,180,Undrafted,Undrafted,Undrafted,N
211,DeMar DeRozan,1610612759,201942,2019,1989-08-07,USA,6-6,220,2009,1,9,N
212,Rudy Gay,1610612759,200752,2019,1986-08-17,USA,6-8,250,2006,1,8,N
213,Jakob Poeltl,1610612759,1627751,2019,1995-10-15,Austria,7-1,245,2016,1,9,N
214,Derrick White,1610612759,1628401,2019,1994-07-02,USA,6-4,190,2017,1,29,N
215,Bryn Forbes,1610612759,1627854,2019,1993-07-23,USA,6-2,205,Undrafted,Undrafted,Undrafted,N
216,Dejounte Murray,1610612759,1627749,2019,1996-09-19,USA,6-5,180,2016,1,29,N
217,Patty Mills,1610612759,201988,2019,1988-08-11,Australia,6-0,180,2009,2,55,N
218,Trey Lyles,1610612759,1626168,2019,1995-11-05,Canada,6-9,234,2015,1,12,N
219,Drew Eubanks,1610612759,1629234,2019,1997-02-01,USA,6-10,245,Undrafted,Undrafted,Undrafted,N
220,Marco Belinelli,1610612759,201158,2019,1986-03-25,Italy,6-5,220,2007,1,18,N
221,Lonnie Walker IV,1610612759,1629022,2019,1998-12-14,USA,6-4,204,2018,1,18,N
222,DeMarre Carroll,1610612759,201960,2019,1986-07-27,USA,6-6,215,2009,1,27,N
223,Chimezie Metu,1610612759,1629002,2019,1997-03-22,USA,6-9,225,2018,2,49,N
224,Tony Snell,1610612765,203503,2019,1991-11-10,USA,6-6,213,2013,1,20,N
225,Blake Griffin,1610612765,201933,2019,1989-03-16,USA,6-9,250,2009,1,1,N
226,Andre Drummond,1610612765,203083,2019,1993-08-10,USA,6-11,279,2012,1,9,N
227,Luke Kennard,1610612765,1628379,2019,1996-06-24,USA,6-5,206,2017,1,12,N
228,Bruce Brown,1610612765,1628971,2019,1996-08-15,USA,6-4,202,2018,2,42,N
229,Langston Galloway,1610612765,204038,2019,1991-12-09,USA,6-1,200,Undrafted,Undrafted,Undrafted,N
230,Derrick Rose,1610612765,201565,2019,1988-10-04,USA,6-3,200,2008,1,1,N
231,Markieff Morris,1610612765,202693,2019,1989-09-02,USA,6-9,245,2011,1,13,N
232,Svi Mykhailiuk,1610612765,1629004,2019,1997-06-10,Ukraine,6-7,205,2018,2,47,N
233,Christian Wood,1610612765,1626174,2019,1995-09-27,USA,6-9,214,Undrafted,Undrafted,Undrafted,N
234,Thon Maker,1610612765,1627748,2019,1997-02-25,South Sudan,7-0,221,2016,1,10,N
235,Tim Frazier,1610612765,204025,2019,1990-11-01,USA,6-0,170,Undrafted,Undrafted,Undrafted,N
236,Sekou Doumbouya,1610612765,1629635,2019,2000-12-23,France,6-9,230,2019,1,15,N
237,Terrance Ferguson,1610612760,1628390,2019,1998-05-17,USA,6-6,190,2017,1,21,N
238,Danilo Gallinari,1610612760,201568,2019,1988-08-08,Italy,6-10,236,2008,1,6,N
239,Steven Adams,1610612760,203500,2019,1993-07-20,New Zealand,6-11,265,2013,1,12,N
240,Shai Gilgeous-Alexander,1610612760,1628983,2019,1998-07-12,Canada,6-6,195,2018,1,11,N
241,Chris Paul,1610612760,101108,2019,1985-05-06,USA,6-0,175,2005,1,4,Y
242,Nerlens Noel,1610612760,203457,2019,1994-04-10,USA,6-10,220,2013,1,6,N
243,Dennis Schroder,1610612760,203471,2019,1993-09-15,Germany,6-1,172,2013,1,17,N
244,Abdel Nader,1610612760,1627846,2019,1993-09-25,Egypt,6-5,225,2016,2,58,N
245,Darius Bazley,1610612760,1629647,2019,2000-06-12,USA,6-9,216,2019,1,23,N
246,Deonte Burton,1610612760,1629126,2019,1994-01-31,USA,6-4,240,Undrafted,Undrafted,Undrafted,N
247,Devon Hall,1610612760,1628985,2019,1995-07-07,USA,6-5,215,2018,2,53,N
248,Mike Muscala,1610612760,203488,2019,1991-07-01,USA,6-11,240,2013,2,44,N
249,Jrue Holiday,1610612740,201950,2019,1990-06-12,USA,6-5,205,2009,1,17,N
250,Brandon Ingram,1610612740,1627742,2019,1997-09-02,USA,6-8,190,2016,1,2,N
251,Jahlil Okafor,1610612740,1626143,2019,1995-12-15,USA,6-10,270,2015,1,3,N
252,JJ Redick,1610612740,200755,2019,1984-06-24,USA,6-3,200,2006,1,11,N
253,Lonzo Ball,1610612740,1628366,2019,1997-10-27,USA,6-6,190,2017,1,2,N
254,Jaxson Hayes,1610612740,1629637,2019,2000-05-23,USA,7-0,220,2019,1,8,N
255,Josh Hart,1610612740,1628404,2019,1995-03-06,USA,6-4,215,2017,1,30,N
256,E'Twaun Moore,1610612740,202734,2019,1989-02-25,USA,6-3,191,2011,2,55,N
257,Nicolo Melli,1610612740,1629740,2019,1991-01-26,Italy,6-9,236,Undrafted,Undrafted,Undrafted,N
258,Nickeil Alexander-Walker,1610612740,1629638,2019,1998-09-02,Canada,6-5,205,2019,1,17,N
259,Derrick Favors,1610612740,202324,2019,1991-07-15,USA,6-9,265,2010,1,3,N
260,Frank Jackson,1610612740,1628402,2019,1998-05-04,USA,6-3,205,2017,2,31,N
261,Kenrich Williams,1610612740,1629026,2019,1994-12-02,USA,6-6,210,Undrafted,Undrafted,Undrafted,N
262,Jonathan Isaac,1610612753,1628371,2019,1997-10-03,USA,6-10,230,2017,1,6,N
263,Aaron Gordon,1610612753,203932,2019,1995-09-16,USA,6-8,235,2014,1,4,N
264,Khem Birch,1610612753,203920,2019,1992-09-28,Canada,6-8,233,Undrafted,Undrafted,Undrafted,N
265,Evan Fournier,1610612753,203095,2019,1992-10-29,France,6-6,205,2012,1,20,N
266,Markelle Fultz,1610612753,1628365,2019,1998-05-29,USA,6-4,209,2017,1,1,N
267,Wes Iwundu,1610612753,1628411,2019,1994-12-20,USA,6-6,195,2017,2,33,N
268,D.J. Augustin,1610612753,201571,2019,1987-11-10,USA,5-11,183,2008,1,9,N
269,Mo Bamba,1610612753,1628964,2019,1998-05-12,USA,7-0,231,2018,1,6,N
270,Terrence Ross,1610612753,203082,2019,1991-02-05,USA,6-7,206,2012,1,8,N
271,Melvin Frazier Jr.,1610612753,1628982,2019,1996-08-30,USA,6-5,215,2018,2,35,N
272,Amile Jefferson,1610612753,1628518,2019,1993-05-07,USA,6-9,222,2017,,,N
273,Josh Magette,1610612753,203705,2019,1989-11-28,USA,6-1,160,2012,0,0,N
274,OG Anunoby,1610612761,1628384,2019,1997-07-17,United Kingdom,6-7,232,2017,1,23,N
275,Pascal Siakam,1610612761,1627783,2019,1994-04-02,Cameroon,6-8,230,2016,1,27,N
276,Marc Gasol,1610612761,201188,2019,1985-01-29,Spain,6-11,255,2007,2,48,N
